,year,avg_temp
21,1764,51
22,1765,50
23,1766,51
24,1767,49
25,1768,48
26,1769,50
27,1770,49
28,1771,51
29,1772,50
30,1773,51
31,1774,50
32,1775,52
33,1776,50
34,1777,49
35,1778,46
36,1779,51
37,1780,55
38,1781,50
39,1782,49
40,1783,49
41,1784,49
42,1785,49
43,1786,50
44,1787,50
45,1788,51
46,1789,50
47,1790,50
48,1791,50
49,1792,49
50,1793,50
51,1794,51
52,1795,50
53,1796,50
54,1797,49
55,1798,51
56,1799,50
57,1800,50
58,1801,51
59,1802,51
60,1803,51
61,1804,51
62,1805,51
63,1806,50
64,1807,50
65,1808,50
66,1809,48
67,1810,49
68,1811,49
69,1812,47
70,1813,49
71,1814,49
72,1815,48
73,1816,47
74,1817,47
75,1818,49
76,1819,49
77,1820,48
78,1821,48
79,1822,50
80,1823,49
81,1824,49
82,1825,52
83,1826,50
84,1827,51
85,1828,52
86,1829,50
87,1830,52
88,1831,48
89,1832,51
90,1833,51
91,1834,52
92,1835,49
93,1836,48
94,1837,49
95,1838,48
96,1839,51
97,1840,50
98,1841,50
99,1842,51
100,1843,48
101,1844,51
102,1845,51
103,1846,52
104,1847,49
105,1848,50
106,1849,49
107,1850,50
108,1851,50
109,1852,50
110,1853,50
111,1854,52
112,1855,49
113,1856,48
114,1857,48
115,1858,51
116,1859,50
117,1860,50
118,1861,49
119,1862,49
120,1863,50
121,1864,49
122,1865,50
123,1866,48
124,1867,49
125,1868,48
126,1869,48
127,1870,51
128,1871,50
129,1872,48
130,1873,48
131,1874,50
132,1875,46
133,1876,49
134,1877,51
135,1878,52
136,1879,50
137,1880,51
138,1881,50
139,1882,51
140,1883,47
141,1884,49
142,1885,46
143,1886,49
144,1887,49
145,1888,48
146,1889,50
147,1890,50
148,1891,51
149,1892,49
150,1893,48
151,1894,51
152,1895,49
153,1896,51
154,1897,50
155,1898,50
156,1899,50
157,1900,51
158,1901,50
159,1902,50
160,1903,49
161,1904,47
162,1905,49
163,1906,51
164,1907,49
165,1908,51
166,1909,50
167,1910,50
168,1911,52
169,1912,48
170,1913,51
171,1914,50
172,1915,50
173,1916,50
174,1917,47
175,1918,50
176,1919,51
177,1920,50
178,1921,54
179,1922,52
180,1923,50
181,1924,48
182,1925,50
183,1926,48
184,1927,51
185,1928,50
186,1929,49
187,1930,51
188,1931,54
189,1932,51
190,1933,52
191,1934,52
192,1935,50
193,1936,50
194,1937,50
195,1938,53
196,1939,52
197,1940,49
198,1941,53
199,1942,51
200,1943,49
201,1944,51
202,1945,50
203,1946,53
204,1947,50
205,1948,51
206,1949,52
207,1950,49
208,1951,49
209,1952,52
210,1953,53
211,1954,52
212,1955,52
213,1956,51
214,1957,51
215,1958,50
216,1959,51
217,1960,50
218,1961,51
219,1962,50
220,1963,50
221,1964,52
222,1965,51
223,1966,50
224,1967,50
225,1968,51
226,1969,50
227,1970,51
228,1971,51
229,1972,49
230,1973,53
231,1974,51
232,1975,51
233,1976,50
234,1977,51
235,1978,49
236,1979,49
237,1980,50
238,1981,51
239,1982,50
240,1983,52
241,1984,51
242,1985,50
243,1986,51
244,1987,54
245,1988,52
246,1989,50
247,1990,53
248,1991,53
249,1992,50
250,1993,50
251,1994,51
252,1995,51
253,1996,49
254,1997,50
255,1998,55
256,1999,53
257,2000,52
258,2001,53
259,2002,53
260,2003,51
261,2004,52
262,2005,53
263,2006,53
264,2007,53
265,2008,50
266,2009,51
267,2010,53
268,2011,52
269,2012,55
270,2013,53
